CourseCode,CourseName,Department,ILO,Similarity,Content
LIT150,Teckenspråkslingvistik II,Institutionen för lingvistik,Du ska kunna göra sökningar i biblioteksresurser .,0.32194623351097107,"Kursen omfattar studium av olika texter på svenskt teckenspråk, där studenten både teoretiskt och praktiskt arbetar med olika texttyper. Dessutom studeras teckenspråk i användning, där fokus ligger på språkligt uttryckssätt i olika sammanhang och med olika syften. I kursen introduceras även annoteringsverktyg för bearbetning och analys av teckenspråkslingvistiska data.     Delkurs 1: Introduktion till metod och analys av forskningsdata, 5hp Delkursen ger grundläggande kunskaper om att samla in, bearbeta och analysera teckenspråkslingvistiska data, samt en introduktion till sökning i olika biblioteksresurser. Kursen ger även grundläggande färdighet i att använda annoteringsverktyget ELAN för dokumentation och bearbetning av texter på teckenspråk samt kunskaper i hur konventioner för transkribering av teckenspråkstexter tillämpas.   Delkurs 2: Teckenspråkstexter, 5 hp Delkursen ger grundläggande kunskap om olika texttyper och språkliga stilar. Studenten lär sig att särskilja och identifiera olika texttyper utifrån innehållsmässiga och stilistiska drag samt att producera texter utifrån texttypens särdrag.   Delkurs 3: Teckenspråk i användning, 5 hp Kursen fokuserar på språklig kommunikation och behandlar olika sammanhang där språket används, liksom dess uttrycksform och variation. Dessutom utvecklas studentens förmåga att förstå och identifiera hur språket kommer till uttryck i olika sammanhang, för olika syften och i förhållande till olika grupper och individer. Vidare ger kursen teoretiska och praktiska kunskaper om samtalsstruktur i tecknade språk, med särskilt fokus på turtagning."
FK8038,Sjukhusfysikerns yrkesroll,Fysikum,Du ska kunna kommunicera med icke .,0.3073911964893341,"Med utgångspunkt i ämneskunskaper inom sjukhusfysikens huvudområden (strålskyddslära, diagnostisk radiologi, magnetresonanstomografi, nuklearmedicin och strålterapi) fokuserar kursen på sjukhusfysikerns yrkesroll, ansvar och arbetsuppgifter. Studenten introduceras också till sjukhusets miljö, verksamhet och organisation med fokus på sjukhusfysik.    Specifikt behandlas: • Sjukhusfysikerns uppdrag inom områden såsom organisation av verksamhet inom sjukvården, ledarskap, projektledning, samordning, processutveckling, kvalitetssäkring samt upphandlingsprocesser. • Sjukhusfysikerns yrkesroll som specialist inom nuklearmedicin, röntgenfysik, MR-fysik, strålbehandling och strålskydd samt behovet av bred kompetens inom flera specialområden.  • Sjukhusfysikerns roll med avseende på den kontinuerliga utvecklingen inom teknik och vetenskap. • Utmaningar och kompetensutvecklingsbehov i sjukhusfysikeryrket med anledning av internationella, nationella och lokala förändringar i författningar och nya EU-direktiv.  Vikten av lagarbete och samverkan med andra yrkesgrupper diskuteras samt förmågan att informera och utbilda personal i strålskyddsarbete tränas. Ett professionellt förhållningssätt gentemot patienter och deras närstående diskuteras."
AN4350,Fördjupningskurs i det antika Greklands arkeologi vid Svenska Institutet i Athen,Institutionen för arkeologi och antikens kultur,Du ska kunna visa förmåga att självständigt identifiera och formulera frågeställningar samt att planera och med adekvata metoder genomföra kvalificerade uppgifter inom givna tidsramar .,0.23801250755786896,"Kursen syftar till att fördjupa studenters förståelse av det antika Greklands förhistoriska och historiska arkeologi. Denna förståelse uppnås genom kritiska studier av arkeologiskt material, utgrävningsplatser, arkitektur, monument och museisamlingar. Materialet studeras i Athen, såväl som i andra regioner, dit exkursioner företas."
ES3LDP,"Spanska - lingvistik, diskurs och pragmatik",Romanska och klassiska institutionen,"Du ska kunna förhålla sig kritiskt till forskningsresultat, och upptäcka och formulera forskningsproblem .",0.30755048990249634,"Kursen är en introduktion till teorier och metoder inom lingvistik, pragmatik och diskursanalys med tillämpning på talad och skriven spanska. I kursen ges inblick i hur språkanvändning påverkar mänskligt handlande och mänskliga relationer samt hur språklig diskurs och interaktion är uppbyggd. Kursen är vidare en orientering om samspelet mellan språkets formella strukturer och dess funktioner som uttrycks- och kommunikationsmedel. Genom sin inriktning på språklig mening är kursen också ett komplement till litteratur- och kulturstudier inom det spanskspråkiga området."
KB7015,Biologiska membraners struktur och dynamik,Institutionen för biokemi och biofysik (DBB),Du ska kunna redogöra för ett antal tekniker som kan användas för studier av .,0.32429200410842896,"Kursen behandlar membraners tredimensionella struktur och egenskaper, membranproteiners struktur, funktion, expression och biogenes, funktionsstudier av membranproteiner, och transportprocesser över biologiska membraner. Dessutom belyser kursen de senaste årens framsteg inom membranproteinforskningen där bestämning av strukturer har lett till förståelse av grundläggande mekanismer."
MI7015,Toxikologi för miljövetare,Institutionen för miljövetenskap (ACES),Du ska kunna förklara .,0.25736385583877563,"a. Kursen behandlar toxikologiska grundprinciper med syftet att förstå de faror som kemiska föroreningar utgör för levande organismer. Kursen ger kunskaper om standardmetoder för toxicitetstestning, teknisk terminologi, dos-responssamband och uppskattning av kemiska och biologiska faktorer som påverkar föroreningars toxicitet under olika exponeringsscenarier.  Kursen behandlar: * experimentella metoder och grundläggande statistik som används vid toxikologisk testning * toxikologiska nyckelbegrepp, som dos-respons-samband, målreceptorer och verkningsmekanism * toxikologiska effekter på molekylär-, individ- och populationsnivå  * absorption, fördelning, ämnesomsättning och utsöndring (ADME) med hänsyn tagen till såväl exponerade organismers unika anatomi och biokemi som olika kemiska föroreningars fysikalisk-kemiska egenskaper."
KB7017,Bioinformatik,Institutionen för biokemi och biofysik (DBB),Du ska kunna använda Linux för standarduppgifter .,0.1884792298078537,"Kursen behandlar grunderna för bioinformatik, speciellt metoder för att studera biologiska sekvensdata och sekvensstatistik."
GG7022,Paleoklimatologi,Institutionen för geologiska vetenskaper (IGV),Du ska kunna självständigt söka relevant litteratur .,0.1753658801317215,"Kursen behandlar: • samverkan mellan klimatsystemets olika delar (atmosfären, biosfären, litosfären, kryosfären, hydrosfären) • klimatsystemens utveckling över geologisk tid • användandet av geologiska klimatarkiv, inklusive terrestriska och marina borrkärnor samt iskärnor • tolkning och utvärdering av paleoklimatologiska data"
GG7022,Paleoklimatologi,Institutionen för geologiska vetenskaper (IGV),Du ska kunna presentera vetenskaplig information såväl skriftligt som muntligt .,0.2778753340244293,"Kursen behandlar: • samverkan mellan klimatsystemets olika delar (atmosfären, biosfären, litosfären, kryosfären, hydrosfären) • klimatsystemens utveckling över geologisk tid • användandet av geologiska klimatarkiv, inklusive terrestriska och marina borrkärnor samt iskärnor • tolkning och utvärdering av paleoklimatologiska data"
GG7023,Paleontologi,Institutionen för geologiska vetenskaper (IGV),Du ska kunna miljö och redogöra för deras ålder .,0.2778070569038391,"Kursen behandlar: • livets ursprung och utveckling, evolutionära processer, massutdöenden • fossilbildning, fossilidentifiering och systematik • fossila marina och markbundna evertebrater och vertebrater • fossila landväxter, mikrofossil och pollen • översikt av samspelet mellan makroevolution, paleoekologi, globala näringscykler, atmosfärens sammansättning och klimat genom Jordens historia • vetenskapligt användande av paleontologiska samlingar i tolkning av miljö och kronologi (biostratigrafi)"
