CourseCode,Department,SBERT_Similarity,ILO_Count
HVVFÄ1,Institutionen för ämnesdidaktik,0.64163219502994,7.0
UB30UU,Barn- och ungdomsvetenskapliga institutionen,0.734692245721817,5.0
SU1044,Institutionen för socialt arbete,0.718774805466334,9.0
IH5228,Institutionen för kultur och estetik,0.7368464569250742,3.0
UB33UU,Barn- och ungdomsvetenskapliga institutionen,0.7754276841878891,8.0
UB214Z,Barn- och ungdomsvetenskapliga institutionen,0.6803700566291809,5.0
UB34UU,Barn- och ungdomsvetenskapliga institutionen,0.6239485243956248,6.0
UB35UU,Barn- och ungdomsvetenskapliga institutionen,0.7755643334239721,8.0
UB212Z,Barn- och ungdomsvetenskapliga institutionen,0.6432312615215778,4.0
UB31UU,Barn- och ungdomsvetenskapliga institutionen,0.6803570340077082,6.0
UB36UU,Barn- och ungdomsvetenskapliga institutionen,0.7423264334599177,3.0
HVF31S,Institutionen för ämnesdidaktik,0.690934975941976,6.0
UM8043,Institutionen för ämnesdidaktik,0.6961784561475118,9.0
UCG04U,Institutionen för pedagogik och didaktik,0.7178009947141012,6.0
HVVF3K,Institutionen för ämnesdidaktik,0.708649155166414,9.0
UM3108,Institutionen för ämnesdidaktik,0.5922078937292099,2.0
UB502Y,Barn- och ungdomsvetenskapliga institutionen,0.8144588768482208,3.0
UMT441,Institutionen för ämnesdidaktik,0.8255610515673956,6.0
UM77VU,Institutionen för ämnesdidaktik,0.7002389762136672,9.0
UM57VU,Institutionen för ämnesdidaktik,0.6994622945785522,10.0
UM8044,Institutionen för ämnesdidaktik,0.7097559836175706,9.0
UM3109,Institutionen för ämnesdidaktik,0.7773893252015114,4.0
JU761A,Juridiska institutionen,0.7620677990572793,7.0
UM3112,Institutionen för ämnesdidaktik,0.7020962834358215,7.0
UB501Y,Barn- och ungdomsvetenskapliga institutionen,0.8092842896779379,3.0
UB215A,Barn- och ungdomsvetenskapliga institutionen,0.7267542084058126,3.0
USVF2G,Institutionen för ämnesdidaktik,0.6506352594920567,7.0
UB37UU,Barn- och ungdomsvetenskapliga institutionen,0.7564770460128785,5.0
YP26LÄ,Institutionen för pedagogik och didaktik,0.7678482929865519,3.0
UB606Y,Barn- och ungdomsvetenskapliga institutionen,0.7762561962008476,8.0
SO7500,Sociologiska institutionen,0.8108216907296862,7.0
UM54UU,Institutionen för ämnesdidaktik,0.7176849577162001,9.0
PSPR31,Psykologiska institutionen,0.58957364782691,4.0
PSPR32,Psykologiska institutionen,0.5676168873906136,4.0
PSPR33,Psykologiska institutionen,0.6024890542030334,4.0
PSPR34,Psykologiska institutionen,0.6215129867196083,4.0
PSPR35,Psykologiska institutionen,0.6265501156449318,4.0
PSPR36,Psykologiska institutionen,0.6090868711471558,4.0
PSPR37,Psykologiska institutionen,0.6045997738838196,4.0
PSPR38,Psykologiska institutionen,0.6167983040213585,4.0
